scenario,seed,vehicle_id,duration_s,time_loss_s,waiting_time_s,depart_delay_s,route_length_m,co2_mg,nox_mg,fuel_mg
baseline,5,south_to_north_13.18,115.0,42.87,33.0,0.71,994.9,296611.509048,119.883907,94607.55017
baseline,5,north_to_south_12.35,109.0,36.75,27.0,0.08,994.9,273825.620666,107.975324,87339.659313
baseline,5,south_to_north_13.19,112.0,37.64,27.0,0.41,994.9,275469.558814,107.777589,87864.22413
baseline,5,north_to_south_12.36,108.0,35.79,27.0,0.17,994.9,278267.652451,109.857712,88756.399846
baseline,5,north_to_south_12.33,117.0,39.65,30.0,0.9,994.9,280138.841005,110.857193,89353.624344
baseline,5,north_to_south_12.34,115.0,41.87,28.0,0.99,994.9,294362.244077,117.673622,93890.022273
baseline,5,north_to_south_12.39,101.0,28.79,19.0,0.43,994.9,255523.203662,98.347344,81501.701593
baseline,5,south_to_north_13.21,104.0,26.57,16.0,0.83,994.9,241571.566822,94.075654,77051.698137
baseline,5,south_to_north_13.24,88.0,16.22,5.0,0.94,994.9,220002.754045,82.827191,70171.516105
baseline,5,north_to_south_12.37,109.0,33.62,24.0,0.26,994.9,268529.305877,105.502215,85650.363485
baseline,5,south_to_north_13.25,85.0,13.05,0.0,0.65,994.9,228520.350435,86.879005,72887.876835
baseline,5,south_to_north_13.20,113.0,29.25,19.0,0.12,994.9,259554.016832,101.610657,82787.566629
baseline,5,north_to_south_12.40,102.0,25.58,15.0,0.52,994.9,246039.09297,96.256618,78476.467209
baseline,5,north_to_south_12.38,110.0,29.5,18.0,0.34,994.9,249767.331097,95.914424,79666.179878
baseline,5,south_to_north_13.22,104.0,28.23,15.0,0.53,994.9,267672.755976,106.362228,85376.500293
baseline,5,north_to_south_12.43,95.0,22.4,11.0,0.78,994.9,243398.210166,95.858848,77633.62119
baseline,5,south_to_north_13.23,100.0,18.48,8.0,0.24,994.9,233631.834929,90.299051,74518.878035
baseline,5,north_to_south_12.44,93.0,21.23,9.0,0.87,994.9,241401.77002,93.841952,76996.95076
baseline,5,north_to_south_12.46,90.0,17.98,6.0,0.05,994.9,231850.585623,88.319854,73950.421109
baseline,5,south_to_north_13.26,86.0,5.24,0.0,0.36,994.9,187888.059665,68.482112,59928.163594
baseline,5,south_to_north_13.28,76.0,3.49,0.0,0.77,994.9,171655.053898,60.468123,54750.402387
baseline,5,south_to_north_13.27,83.0,3.81,0.0,0.06,994.9,180316.324234,64.083398,57513.177059
baseline,5,north_to_south_12.41,107.0,20.04,10.0,0.61,994.9,235782.400199,90.488828,75205.183371
baseline,5,north_to_south_12.47,90.0,13.85,1.0,0.14,994.9,208444.575109,78.191225,66484.89439
baseline,5,north_to_south_12.50,82.0,10.24,0.0,0.4,994.9,206612.946278,78.533189,65900.187684
baseline,5,north_to_south_12.42,109.0,16.94,6.0,0.7,994.9,231652.697216,88.821958,73887.847133
