scenario,seed,detector,begin_s,end_s,mean_queue_veh,max_queue_veh,mean_halts
baseline,1,n_queue,4020.0,4080.0,0.0,0.0,0.0
baseline,1,s_queue,4020.0,4080.0,0.0,0.0,0.0
baseline,1,e_queue,4020.0,4080.0,0.0,0.0,0.0
baseline,1,w_queue,4020.0,4080.0,0.0,0.0,0.0
baseline,1,n_queue,4080.0,4140.0,0.0,0.0,0.0
baseline,1,s_queue,4080.0,4140.0,0.0,0.0,0.0
baseline,1,e_queue,4080.0,4140.0,0.0,0.0,0.0
baseline,1,w_queue,4080.0,4140.0,0.0,0.0,0.0
baseline,1,n_queue,4140.0,4200.0,0.0,0.0,0.0
baseline,1,s_queue,4140.0,4200.0,0.0,0.0,0.0
baseline,1,e_queue,4140.0,4200.0,0.0,0.0,0.0
baseline,1,w_queue,4140.0,4200.0,0.0,0.0,0.0
baseline,1,n_queue,4200.0,4260.0,0.0,0.0,0.0
baseline,1,s_queue,4200.0,4260.0,0.0,0.0,0.0
baseline,1,e_queue,4200.0,4260.0,0.0,0.0,0.0
baseline,1,w_queue,4200.0,4260.0,0.0,0.0,0.0
baseline,1,n_queue,4260.0,4320.0,0.0,0.0,0.0
baseline,1,s_queue,4260.0,4320.0,0.0,0.0,0.0
baseline,1,e_queue,4260.0,4320.0,0.0,0.0,0.0
baseline,1,w_queue,4260.0,4320.0,0.0,0.0,0.0
baseline,1,n_queue,4320.0,4380.0,0.0,0.0,0.0
baseline,1,s_queue,4320.0,4380.0,0.0,0.0,0.0
baseline,1,e_queue,4320.0,4380.0,0.0,0.0,0.0
baseline,1,w_queue,4320.0,4380.0,0.0,0.0,0.0
baseline,1,n_queue,4380.0,4440.0,0.0,0.0,0.0
baseline,1,s_queue,4380.0,4440.0,0.0,0.0,0.0
baseline,1,e_queue,4380.0,4440.0,0.0,0.0,0.0
baseline,1,w_queue,4380.0,4440.0,0.0,0.0,0.0
baseline,1,n_queue,4440.0,4500.0,0.0,0.0,0.0
baseline,1,s_queue,4440.0,4500.0,0.0,0.0,0.0
baseline,1,e_queue,4440.0,4500.0,0.0,0.0,0.0
baseline,1,w_queue,4440.0,4500.0,0.0,0.0,0.0
baseline,2,n_queue,0.0,60.0,0.57,3.0,0.0
baseline,2,s_queue,0.0,60.0,0.45,2.0,0.0
baseline,2,e_queue,0.0,60.0,0.0,0.0,0.0
baseline,2,w_queue,0.0,60.0,0.0,0.0,0.0
baseline,2,n_queue,60.0,120.0,1.1,4.0,0.0
baseline,2,s_queue,60.0,120.0,0.63,3.0,0.0
baseline,2,e_queue,60.0,120.0,1.13,3.0,0.0
baseline,2,w_queue,60.0,120.0,0.88,3.0,0.0
baseline,2,n_queue,120.0,180.0,1.25,5.0,0.0
baseline,2,s_queue,120.0,180.0,0.85,3.0,0.0
baseline,2,e_queue,120.0,180.0,1.27,3.0,0.0
baseline,2,w_queue,120.0,180.0,1.47,3.0,0.0
baseline,2,n_queue,180.0,240.0,1.97,5.0,0.0
baseline,2,s_queue,180.0,240.0,1.05,3.0,0.0
baseline,2,e_queue,180.0,240.0,0.65,2.0,0.0
baseline,2,w_queue,180.0,240.0,0.85,3.0,0.0
baseline,2,n_queue,240.0,300.0,1.88,5.0,0.0
baseline,2,s_queue,240.0,300.0,0.93,3.0,0.0
baseline,2,e_queue,240.0,300.0,0.7,2.0,0.0
baseline,2,w_queue,240.0,300.0,0.77,3.0,0.0
baseline,2,n_queue,300.0,360.0,2.25,6.0,0.0
baseline,2,s_queue,300.0,360.0,0.95,3.0,0.0
baseline,2,e_queue,300.0,360.0,0.92,3.0,0.0
baseline,2,w_queue,300.0,360.0,0.8,2.0,0.0
baseline,2,n_queue,360.0,420.0,1.73,6.0,0.0
baseline,2,s_queue,360.0,420.0,0.78,3.0,0.0
baseline,2,e_queue,360.0,420.0,1.07,3.0,0.0
baseline,2,w_queue,360.0,420.0,1.0,3.0,0.0
baseline,2,n_queue,420.0,480.0,1.2,5.0,0.0
baseline,2,s_queue,420.0,480.0,0.55,2.0,0.0
baseline,2,e_queue,420.0,480.0,1.37,3.0,0.0
baseline,2,w_queue,420.0,480.0,1.17,3.0,0.0
baseline,2,n_queue,480.0,540.0,1.68,5.0,0.0
baseline,2,s_queue,480.0,540.0,0.7,2.0,0.0
baseline,2,e_queue,480.0,540.0,1.4,4.0,0.0
baseline,2,w_queue,480.0,540.0,1.08,3.0,0.0
baseline,2,n_queue,540.0,600.0,1.82,6.0,0.0
baseline,2,s_queue,540.0,600.0,1.03,4.0,0.0
baseline,2,e_queue,540.0,600.0,1.27,3.0,0.0
baseline,2,w_queue,540.0,600.0,0.88,2.0,0.0
baseline,2,n_queue,600.0,660.0,1.82,5.0,0.0
baseline,2,s_queue,600.0,660.0,0.92,3.0,0.0
baseline,2,e_queue,600.0,660.0,0.65,2.0,0.0
baseline,2,w_queue,600.0,660.0,0.7,2.0,0.0
baseline,2,n_queue,660.0,720.0,1.75,5.0,0.0
baseline,2,s_queue,660.0,720.0,1.18,3.0,0.0
baseline,2,e_queue,660.0,720.0,0.82,3.0,0.0
baseline,2,w_queue,660.0,720.0,0.97,3.0,0.0
baseline,2,n_queue,720.0,780.0,1.75,5.0,0.0
baseline,2,s_queue,720.0,780.0,0.88,3.0,0.0
baseline,2,e_queue,720.0,780.0,0.98,3.0,0.0
baseline,2,w_queue,720.0,780.0,0.8,2.0,0.0
baseline,2,n_queue,780.0,840.0,1.63,5.0,0.0
baseline,2,s_queue,780.0,840.0,0.58,3.0,0.0
baseline,2,e_queue,780.0,840.0,1.1,3.0,0.0
baseline,2,w_queue,780.0,840.0,1.15,3.0,0.0
baseline,2,n_queue,840.0,900.0,1.05,4.0,0.0
baseline,2,s_queue,840.0,900.0,0.52,2.0,0.0
baseline,2,e_queue,840.0,900.0,1.45,3.0,0.0
baseline,2,w_queue,840.0,900.0,1.47,3.0,0.0
baseline,2,n_queue,900.0,960.0,1.3,5.0,0.0
baseline,2,s_queue,900.0,960.0,0.65,3.0,0.0
baseline,2,e_queue,900.0,960.0,1.23,3.0,0.0
baseline,2,w_queue,900.0,960.0,1.32,3.0,0.0
baseline,2,n_queue,960.0,1020.0,1.87,6.0,0.0
baseline,2,s_queue,960.0,1020.0,0.93,3.0,0.0
baseline,2,e_queue,960.0,1020.0,1.43,4.0,0.0
baseline,2,w_queue,960.0,1020.0,1.1,3.0,0.0
baseline,2,n_queue,1020.0,1080.0,2.35,6.0,0.0
baseline,2,s_queue,1020.0,1080.0,1.2,3.0,0.0
baseline,2,e_queue,1020.0,1080.0,0.83,3.0,0.0
baseline,2,w_queue,1020.0,1080.0,0.88,3.0,0.0
baseline,2,n_queue,1080.0,1140.0,2.07,5.0,0.0
baseline,2,s_queue,1080.0,1140.0,1.22,4.0,0.0
baseline,2,e_queue,1080.0,1140.0,0.98,4.0,0.0
baseline,2,w_queue,1080.0,1140.0,1.28,4.0,0.0
baseline,2,n_queue,1140.0,1200.0,3.0,7.0,0.0
baseline,2,s_queue,1140.0,1200.0,0.9,3.0,0.0
baseline,2,e_queue,1140.0,1200.0,1.08,3.0,0.0
baseline,2,w_queue,1140.0,1200.0,1.3,4.0,0.0
baseline,2,n_queue,1200.0,1260.0,1.32,4.0,0.0
baseline,2,s_queue,1200.0,1260.0,0.82,3.0,0.0
baseline,2,e_queue,1200.0,1260.0,1.32,4.0,0.0
baseline,2,w_queue,1200.0,1260.0,1.22,3.0,0.0
baseline,2,n_queue,1260.0,1320.0,1.0,4.0,0.0
baseline,2,s_queue,1260.0,1320.0,0.57,2.0,0.0
baseline,2,e_queue,1260.0,1320.0,1.38,3.0,0.0
baseline,2,w_queue,1260.0,1320.0,1.17,3.0,0.0
baseline,2,n_queue,1320.0,1380.0,1.47,6.0,0.0
baseline,2,s_queue,1320.0,1380.0,0.77,3.0,0.0
baseline,2,e_queue,1320.0,1380.0,1.33,3.0,0.0
baseline,2,w_queue,1320.0,1380.0,1.47,3.0,0.0
baseline,2,n_queue,1380.0,1440.0,2.05,7.0,0.0
baseline,2,s_queue,1380.0,1440.0,1.07,4.0,0.0
baseline,2,e_queue,1380.0,1440.0,1.37,4.0,0.0
baseline,2,w_queue,1380.0,1440.0,1.57,4.0,0.0
baseline,2,n_queue,1440.0,1500.0,1.97,6.0,0.0
baseline,2,s_queue,1440.0,1500.0,1.33,4.0,0.0
baseline,2,e_queue,1440.0,1500.0,0.93,3.0,0.0
baseline,2,w_queue,1440.0,1500.0,0.55,3.0,0.0
baseline,2,n_queue,1500.0,1560.0,2.27,6.0,0.0
baseline,2,s_queue,1500.0,1560.0,1.03,3.0,0.0
baseline,2,e_queue,1500.0,1560.0,1.02,3.0,0.0
baseline,2,w_queue,1500.0,1560.0,0.78,3.0,0.0
baseline,2,n_queue,1560.0,1620.0,2.72,7.0,0.0
baseline,2,s_queue,1560.0,1620.0,1.35,4.0,0.0
baseline,2,e_queue,1560.0,1620.0,1.2,4.0,0.0
baseline,2,w_queue,1560.0,1620.0,0.8,3.0,0.0
baseline,2,n_queue,1620.0,1680.0,1.78,5.0,0.0
baseline,2,s_queue,1620.0,1680.0,0.85,3.0,0.0
baseline,2,e_queue,1620.0,1680.0,1.15,3.0,0.0
baseline,2,w_queue,1620.0,1680.0,1.02,3.0,0.0
baseline,2,n_queue,1680.0,1740.0,1.33,5.0,0.0
baseline,2,s_queue,1680.0,1740.0,0.82,3.0,0.0
baseline,2,e_queue,1680.0,1740.0,1.35,3.0,0.0
baseline,2,w_queue,1680.0,1740.0,1.42,3.0,0.0
baseline,2,n_queue,1740.0,1800.0,1.6,5.0,0.0
baseline,2,s_queue,1740.0,1800.0,0.93,4.0,0.0
baseline,2,e_queue,1740.0,1800.0,1.23,3.0,0.0
baseline,2,w_queue,1740.0,1800.0,1.38,3.0,0.0
baseline,2,n_queue,1800.0,1860.0,1.9,6.0,0.0
baseline,2,s_queue,1800.0,1860.0,0.98,3.0,0.0
baseline,2,e_queue,1800.0,1860.0,1.22,3.0,0.0
baseline,2,w_queue,1800.0,1860.0,1.4,4.0,0.0
baseline,2,n_queue,1860.0,1920.0,2.27,7.0,0.0
baseline,2,s_queue,1860.0,1920.0,1.27,4.0,0.0
baseline,2,e_queue,1860.0,1920.0,0.88,3.0,0.0
