zone_id,road,direction,latitude,longitude,distance_to_bridge_km,analysis_group,is_treatment_geographic,is_control_geographic,pre_rows,pre_speed_coverage,pre_median_volume,donor_not_excluded_road,donor_is_interstate,donor_distance_eligible,donor_speed_coverage_eligible,donor_volume_eligible,donor_not_treatment,donor_not_control,donor_candidate_eligible
95219,I-95,South,39.37096,-76.45977,19.016723912209695,outside,False,False,2061.0,0.0,0.0,False,True,False,False,False,True,True,False
95220,I-95,North,39.37096,-76.45977,19.016723912209695,outside,False,False,2061.0,0.0,0.0,False,True,False,False,False,True,True,False
95221,I-95,South,39.37096,-76.45977,19.016723912209695,outside,False,False,2061.0,0.0,0.0,False,True,False,False,False,True,True,False
95222,I-95,North,39.37096,-76.45977,19.016723912209695,outside,False,False,2061.0,0.0,0.0,False,True,False,False,False,True,True,False
95225,I-895,North,39.26606,-76.56072,6.942046074966215,treatment,True,False,1625.0,0.9993846153846154,554.0,False,True,False,True,True,False,True,False
95226,I-895,South,39.26606,-76.56072,6.942046074966215,treatment,True,False,1625.0,1.0,513.0,False,True,False,True,True,False,True,False
95229,I-95,South,39.20529,-76.75264,19.255437522799312,outside,False,False,2084.0,1.0,1202.5,False,True,False,True,True,True,True,False
95230,I-95,North,39.20529,-76.75264,19.255437522799312,outside,False,False,2084.0,1.0,1167.0,False,True,False,True,True,True,True,False
95231,I-95,North,38.92206,-76.8527,42.37003930861712,outside,False,False,2097.0,1.0,1039.0,False,True,True,True,True,True,True,False
95232,I-95,South,38.92206,-76.8527,42.37003930861712,outside,False,False,2097.0,1.0,1220.0,False,True,True,True,True,True,True,False
95235,I-95,North,39.31214,-76.53288,11.51749728219666,treatment,True,False,986.0,0.9989858012170385,600.0,False,True,False,True,True,False,True,False
95236,I-95,South,39.31214,-76.53288,11.51749728219666,treatment,True,False,986.0,0.9989858012170385,680.0,False,True,False,True,True,False,True,False
95237,I-83,South,39.40024,-76.66377,24.251931724660807,control,False,True,2099.0,1.0,650.0,True,True,False,True,True,True,False,False
95238,I-83,North,39.40024,-76.66377,24.251931724660807,control,False,True,2099.0,0.9990471653168176,604.0,True,True,False,True,True,True,False,False
95239,I-95,North,39.34607,-76.50804,15.394113336690896,outside,False,False,1420.0,0.9992957746478873,763.0,False,True,False,True,True,True,True,False
95240,I-95,North,39.34607,-76.50804,15.394113336690896,outside,False,False,1420.0,0.9985915492957746,140.0,False,True,False,True,True,True,True,False
95241,I-95,South,39.34607,-76.50804,15.394113336690896,outside,False,False,1420.0,1.0,995.0,False,True,False,True,True,True,True,False
95242,I-95,South,39.34607,-76.50804,15.394113336690896,outside,False,False,1420.0,0.9992957746478873,155.5,False,True,False,True,True,True,True,False
95244,I-97,North,39.151858,-76.64549,11.843987877145933,outside,False,False,2075.0,1.0,692.0,True,True,False,True,True,True,True,False
95245,I-97,South,39.151858,-76.64549,11.843987877145933,outside,False,False,2075.0,1.0,469.0,True,True,False,True,True,True,True,False
95246,I-695,Outer Loop,39.41199,-76.583516,23.09370780633807,outside,False,False,2097.0,1.0,1084.0,False,True,False,True,True,True,True,False
95247,I-695,Inner Loop,39.41199,-76.583516,23.09370780633807,outside,False,False,2097.0,1.0,1032.0,False,True,False,True,True,True,True,False
